QuestionID,Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
VT-037,What should Vermont drivers know about winter driving?,Snow is rare throughout the state,Chains are always required in winter,Salt trucks clear roads immediately,Severe winter conditions are common,D
VT-038,What should Vermont drivers know about leaf peeping season?,Leaf season has no impact on traffic,Only locals drive during fall season,Tourist traffic increases significantly,Roads close during leaf peeping season,C
VT-040,What should Vermont drivers know about unpaved roads?,All roads are paved in Vermont now,Unpaved roads only in remote areas,Unpaved roads are very rare here,Many unpaved roads exist in state,D
VA-008,What nighttime restrictions apply to Virginia provisional license?,No driving from midnight to 4 AM,No nighttime restrictions apply at all,No driving after sunset at any time,No driving from 10 PM to 5 AM only,A
VA-028,What type of insurance is required in Virginia?,No insurance required if you pay fee,Full coverage insurance is required,Collision insurance only is required,Comprehensive insurance is required,A
VA-029,What is the Virginia uninsured motorist fee?,Fee to drive without paying for insurance,Penalty for driving without insurance,Insurance discount for safe drivers,Fee for uninsured driver accidents,A
VA-032,What does Virginia Move Over law require?,Move over for emergency vehicles only,Slow or move for emergency plus utility,Move over only for police vehicles,There is no move over law in state,B
VA-034,What should Virginia drivers know about Northern Virginia?,Traffic is light in the metro area,No special concerns in the area,Heavy congestion near DC metro area,Traffic rules same as rest of state,C
VA-035,What is Virginia law regarding school buses?,Stop only when on the same side road,Slow down to 25 mph when passing bus,Stop only when red lights are flashing,Stop in both directions unless barrier,D
VA-037,What should Virginia drivers know about mountain driving?,Mountains are in western part state,Mountain roads have higher limits,Mountain roads all well maintained,Mountains have no special concerns,A
VA-038,What should Virginia drivers know about toll roads?,Virginia has no toll roads at all,Cash only tolls are accepted here,Several toll roads and HOT lanes,Toll roads are free for residents,C
VA-040,What should Virginia drivers know about the Hampton Roads area?,Traffic is light in the area here,Tunnels and bridges cause bottlenecks,No special concerns in the area,Traffic rules differ from state,B
WA-005,What restrictions apply to Washington intermediate license?,No driving from 1 AM to 5 AM period,No nighttime restrictions apply now,No driving after sunset at any time,No driving from midnight to 6 AM only,A
WA-006,What is the passenger restriction for Washington intermediate license?,Unlimited passengers are allowed now,No passengers under 20 for 6 months,No passengers under age 18 allowed,Up to three passengers allowed now,B
WA-008,What is the Washington intermediate driver education program?,Online only driver education course,Parent taught driver education here,Mandatory driver training for teens,Commercial driver education course,C
WA-018,What is Washington law on cell phones while driving?,No phone restrictions for any driver,Only texting is banned for drivers,Only banned for commercial drivers,Handheld use banned for all drivers,D
WA-025,What does Washington implied consent law mean?,Auto consent to testing when driving,You can refuse all tests without penalty,Consent to vehicle searches only here,Consent to field sobriety tests only,A
WA-031,When must headlights be used in Washington?,Sunset to sunrise only is required,Sunset to sunrise or low visibility,Only during rain or severe weather,Only on rural roads is required here,B
WA-032,What does Washington Move Over law require?,Move over for emergency vehicles only,Move over only for police vehicles,Slow or move for emergency plus utility,There is no move over law in state,C
WA-034,What should Washington drivers know about Seattle traffic?,Traffic is light in the metro area,No special concerns in the area,Traffic rules same as rest of state,Heavy congestion in metro area common,D
WA-037,What should Washington drivers know about mountain passes?,Mountain passes have no special concerns,Passes may close or need chains winter,All passes are open year round here,Passes have higher speed limits set,B
WV-006,What restrictions apply to West Virginia Level 2 license?,No driving from 10 PM to 5 AM hours,No nighttime restrictions apply now,No driving after sunset at any time,No driving from midnight to 6 AM only,A
WV-010,What happens to West Virginia teen driver with violations?,A warning only for the first offense,Extended time in graduated status,Fine only with no license impact,Points that clear at age 18 years,B
WV-011,What is unique about West Virginia driver education?,Optional for all age groups in state,Online only driver education here,Mandatory education for new drivers,Parent taught option available now,C
WV-018,What is West Virginia law on cell phones?,No phone restrictions for any driver,Hands-free is allowed for all drivers,Only texting is banned for all drivers,Texting banned for all drivers now,D
WV-030,What happens if you drive without insurance in West Virginia?,Suspension plus fines plus SR-22 filing,A warning only for the first offense,A small fine only is applied to you,Points on your license but no fine,A
WV-031,When must headlights be used in West Virginia?,Sunset to sunrise only is required,Sunset to sunrise or low visibility,Only during rain or severe weather,Only on rural roads is required here,B
WV-032,What does West Virginia Move Over law require?,Move over for emergency vehicles only,Move over only for police vehicles,Slow or move for emergency plus utility,There is no move over law in state,C
WV-034,What should West Virginia drivers know about mountain roads?,Mountains are throughout the state,Mountain roads have higher limits,Mountain roads all well maintained,Mountains have no special concerns,A
WV-038,What should West Virginia drivers know about coal trucks?,Coal trucks are prohibited on roads,Coal trucks are only in certain areas,Coal trucks have the right of way,Large coal trucks are common on roads,D
WV-040,What should West Virginia drivers know about winding roads?,All roads are straight in the state,Winding mountain roads are common,Winding roads only in state parks,Winding roads have higher limits,B
WI-008,What nighttime restrictions apply to Wisconsin probationary license?,No nighttime restrictions apply now,No driving after sunset at any time,No driving from midnight to 5 AM,No driving from 10 PM to 5 AM only,C
WI-009,What is the passenger restriction for Wisconsin probationary?,Unlimited passengers are allowed now,No passengers under age 18 allowed,Up to three passengers allowed now,One non-family passenger only,D
WI-026,What is unique about Wisconsin OWI laws?,First offense OWI is not criminal,OWI is always a felony offense here,No ignition interlock ever required,First offense has no license impact,A
WI-031,When must headlights be used in Wisconsin?,Sunset to sunrise only is required,Sunset to sunrise or low visibility,Only during rain or severe weather,Only on rural roads is required here,B
WI-032,What does Wisconsin Move Over law require?,Move over for emergency vehicles only,Move over only for police vehicles,Slow or move for emergency plus utility,There is no move over law in state,C
WI-035,What is Wisconsin law regarding school buses?,Stop only when on the same side road,Slow down to 25 mph when passing bus,Stop only when red lights are flashing,Stop in both directions unless barrier,D
WI-037,What should Wisconsin drivers know about winter driving?,Snow is rare throughout the state,Chains are always required in winter,Salt trucks clear roads immediately,Severe winter conditions are common,D
WI-038,What should Wisconsin drivers know about deer?,Deer collisions very common especially fall,Deer are not common on any state roads,Deer only cross at the marked crossings,Deer only appear in the rural areas here,A
WI-040,What should Wisconsin drivers know about Milwaukee?,Traffic is light in the metro area,No special concerns in the area,Metro area with heavier traffic,Traffic rules differ from state,C
WY-006,What restrictions apply to Wyoming intermediate license?,No nighttime restrictions apply now,No driving from 11 PM to 5 AM hours,No driving after sunset at any time,No driving from midnight to 6 AM only,B
WY-031,When must headlights be used in Wyoming?,Sunset to sunrise or low visibility,Sunset to sunrise only is required,Only during rain or severe weather,Only on rural roads is required here,A
WY-032,What does Wyoming Move Over law require?,Move over for emergency vehicles only,Slow or move for emergency plus utility,Move over only for police vehicles,There is no move over law in state,B
WY-034,What should Wyoming drivers know about wind?,Wind is not a significant concern,Wind only in certain areas of state,High winds can affect vehicles,Wind warnings are always posted,C
WY-037,What should Wyoming drivers know about wildlife?,Wildlife is not a significant concern,Wildlife only in national parks areas,Wildlife crossings are always marked,Large wildlife common on roadways,D
WY-038,What should Wyoming drivers know about winter driving?,Severe winter conditions are common,Snow is rare throughout the state,Chains are never needed in state,Salt trucks clear roads immediately,A
WY-040,What should Wyoming drivers know about long distances?,Services are frequent throughout state,Long distances between services exist,Speed limits are higher for distance,All roads have rest stops nearby,B
